Snapshot = 0 .,Track_ID,x,y,z
,43,-476.830066,607.621523,794.605534
,44,-475.556517,606.937674,828.897137
,46,-717.480498,575.858437,693.49885
,47,-683.201642,578.52429,728.129781
,49,-681.932732,578.360236,797.803791
,50,-682.030464,578.673097,832.809599
,51,-563.955461,594.980355,868.948592
,52,-514.278475,602.97286,620.444671
,54,-648.86102,582.359155,727.744462
,58,-565.216081,593.799345,692.045778
,59,-545.830433,596.50383,795.638625
,62,-684.338049,578.609358,623.584606
,63,-580.708431,591.912796,656.774185
Snapshot = 12 .,Track_ID,x,y,z
,2,-685.361559,579.463038,658.654069
,3,-683.213668,578.437167,692.979555
,4,-650.923621,582.914138,623.095971
,5,-650.555548,582.836458,657.754675
,6,-650.852939,583.416576,692.934229
,8,-645.766161,580.564478,761.861318
,9,-647.648183,582.053405,797.458964
,10,-647.158938,582.194129,832.166159
,12,-613.968553,585.746073,656.749023
,13,-615.181945,587.038479,691.945741
,15,-613.609145,586.531182,761.790331
,16,-613.137286,586.494466,796.694102
,17,-612.583552,586.352769,831.466674
,22,-578.881996,591.263663,761.550874
,23,-579.416594,592.009556,796.861183
,24,-577.981755,591.276827,831.141899
,25,-547.889201,596.483917,621.166208
,26,-546.910114,595.945764,656.079921
,27,-546.284407,595.987257,690.5666
,29,-546.179329,596.416346,760.588548
,31,-546.31797,597.044289,831.066802
,32,-513.064611,602.198111,655.421595
,33,-511.72113,601.477324,689.827456
,34,-512.156941,602.186807,725.03245
,35,-512.081454,602.332336,760.09647
,37,-512.671293,603.459217,830.609717
,38,-479.767301,608.815891,620.589423
,39,-478.649294,608.672806,655.437148
,42,-478.818235,609.367625,760.784235
,43,-476.752468,607.576892,794.545655
,44,-475.943781,607.337602,829.120819
,46,-718.098192,576.255921,693.600498
,47,-683.36814,578.626355,728.17494
,49,-682.096786,578.464384,797.864502
,50,-681.870299,578.580113,832.740278
,51,-563.774619,594.857016,868.800118
,52,-514.67339,603.337211,620.486052
,58,-565.730211,594.21702,692.114266
,59,-545.890589,596.554988,795.644235
,62,-684.985821,579.02445,623.627487
,63,-580.510133,591.744632,656.722972
,68,-720.630042,577.311203,623.900326
,69,-614.016183,586.424645,726.819184
Snapshot = 13 .,Track_ID,x,y,z
,2,-685.55794,579.584682,658.673954
,3,-683.042976,578.331075,692.930508
,4,-650.909929,582.900169,623.093138
,5,-650.757373,582.988792,657.779726
,6,-650.945034,583.480592,692.939506
,8,-645.424222,580.343157,761.730786
,9,-647.758663,582.136306,797.485015
,10,-647.507403,582.41895,832.293025
,12,-614.3266,586.024412,656.778906
,13,-615.224493,587.073084,691.945741
,15,-613.35869,586.361684,761.697015
,16,-613.448341,586.723702,796.792529
,17,-613.141063,586.788663,831.732071
,22,-578.854584,591.244333,761.5316
,23,-579.512257,592.090847,796.901342
,24,-578.262427,591.517756,831.275931
,25,-547.738589,596.356024,621.134102
,26,-546.941219,595.973648,656.066479
,27,-546.139933,595.863807,690.526052
,29,-546.070626,596.321724,760.535168
,31,-546.24951,596.980189,831.005424
,32,-513.026256,602.157562,655.40632
